"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2141643","ZCTA5 41643, Kentucky","194"
"8710000US2141645","ZCTA5 41645, Kentucky","1268"
"8710000US2141647","ZCTA5 41647, Kentucky","1815"
"8710000US2141649","ZCTA5 41649, Kentucky","2631"
"8710000US2141650","ZCTA5 41650, Kentucky","534"
"8710000US2141653","ZCTA5 41653, Kentucky","11451"
"8710000US2141655","ZCTA5 41655, Kentucky","896"
"8710000US2141659","ZCTA5 41659, Kentucky","520"
"8710000US2141660","ZCTA5 41660, Kentucky","802"
"8710000US2141663","ZCTA5 41663, Kentucky","384"
"8710000US2141666","ZCTA5 41666, Kentucky","908"
"8710000US2141667","ZCTA5 41667, Kentucky","720"
"8710000US2141669","ZCTA5 41669, Kentucky","865"
"8710000US2141701","ZCTA5 41701, Kentucky","17252"
"8710000US2141712","ZCTA5 41712, Kentucky","380"
"8710000US2141713","ZCTA5 41713, Kentucky","51"
"8710000US2141714","ZCTA5 41714, Kentucky","418"
"8710000US2141719","ZCTA5 41719, Kentucky","1043"
"8710000US2141721","ZCTA5 41721, Kentucky","788"
"8710000US2141722","ZCTA5 41722, Kentucky","1688"
"8710000US2141723","ZCTA5 41723, Kentucky","1537"
"8710000US2141725","ZCTA5 41725, Kentucky","174"
